Job Title,Company,Location,Experience Level,Date,Job Description,Cleaned Description
Backend Developer,Microsoft,Pune,Mid Level,2025-11-05,"Join TechGiant as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in API Design, Go, SQL. Knowledge of Redis, Kubernetes, Agile is a plus.","join techgiant as a backend developer. we are looking for talented individuals. requirements must have strong experience in api design, go, sql. knowledge of redis, kubernetes, agile is a plus."
Frontend Developer,TCS,Bangalore,Mid Level,2025-04-28,"Join Amazon as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in TypeScript, Redux, Sass. Knowledge of JavaScript, React, Vue, Agile is a plus.","join amazon as a frontend developer. we are looking for talented individuals. requirements must have strong experience in typescript, redux, sass. knowledge of javascript, react, vue, agile is a plus."
Backend Developer,Amazon,Delhi,Mid Level,2025-08-23,"Join Infosys as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Java, Go, API Design. Knowledge of SQL, Python, Redis, Agile is a plus.","join infosys as a backend developer. we are looking for talented individuals. requirements must have strong experience in java, go, api design. knowledge of sql, python, redis, agile is a plus."
DevOps Engineer,Amazon,Pune,Senior Level,2025-10-09,"Join StartupX as a DevOps Engineer. We are looking for talented individuals. Requirements: Must have strong experience in AWS, Docker, CI/CD. Knowledge of Terraform, Kubernetes, Jenkins, Linux, Communication is a plus.","join startupx as a devops engineer. we are looking for talented individuals. requirements must have strong experience in aws, docker, cicd. knowledge of terraform, kubernetes, jenkins, linux, communication is a plus."
Frontend Developer,InnovateAI,Pune,Mid Level,2025-10-31,"Join Microsoft as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in JavaScript, Vue, TypeScript. Knowledge of React, Sass, Agile is a plus.","join microsoft as a frontend developer. we are looking for talented individuals. requirements must have strong experience in javascript, vue, typescript. knowledge of react, sass, agile is a plus."
Frontend Developer,StartupX,Delhi,Entry Level,2025-11-23,"Join Google as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in React, Sass, Vue. Knowledge of TypeScript, Redux, JavaScript, Teamwork is a plus.","join google as a frontend developer. we are looking for talented individuals. requirements must have strong experience in react, sass, vue. knowledge of typescript, redux, javascript, teamwork is a plus."
Backend Developer,Infosys,Delhi,Senior Level,2025-07-29,"Join Amazon as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Java, SQL, Redis. Knowledge of Go, Kubernetes, API Design, Teamwork is a plus.","join amazon as a backend developer. we are looking for talented individuals. requirements must have strong experience in java, sql, redis. knowledge of go, kubernetes, api design, teamwork is a plus."
DevOps Engineer,TechGiant,Mumbai,Senior Level,2025-05-14,"Join TechGiant as a DevOps Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Kubernetes, Linux, Terraform. Knowledge of Jenkins, CI/CD, AWS, Teamwork is a plus.","join techgiant as a devops engineer. we are looking for talented individuals. requirements must have strong experience in kubernetes, linux, terraform. knowledge of jenkins, cicd, aws, teamwork is a plus."
Data Scientist,TechGiant,Pune,Senior Level,2025-05-24,"Join TechGiant as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in Pandas, Statistics, Scikit-Learn. Knowledge of NLTK, Machine Learning is a plus.","join techgiant as a data scientist. we are looking for talented individuals. requirements must have strong experience in pandas, statistics, scikitlearn. knowledge of nltk, machine learning is a plus."
Web Developer,InnovateAI,Delhi,Mid Level,2025-07-19,"Join Infosys as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in Node.js, HTML, Flask. Knowledge of Django, JavaScript, React, CSS, Agile is a plus.","join infosys as a web developer. we are looking for talented individuals. requirements must have strong experience in node.js, html, flask. knowledge of django, javascript, react, css, agile is a plus."
Frontend Developer,Amazon,Mumbai,Senior Level,2025-12-13,"Join Infosys as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Sass, TypeScript, JavaScript. Knowledge of Vue, React, Redux, Teamwork is a plus.","join infosys as a frontend developer. we are looking for talented individuals. requirements must have strong experience in sass, typescript, javascript. knowledge of vue, react, redux, teamwork is a plus."
Web Developer,Amazon,Bangalore,Mid Level,2025-10-13,"Join TechGiant as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in CSS, JavaScript, Django. Knowledge of Node.js, Flask is a plus.","join techgiant as a web developer. we are looking for talented individuals. requirements must have strong experience in css, javascript, django. knowledge of node.js, flask is a plus."
Web Developer,Infosys,Pune,Mid Level,2026-02-25,"Join InnovateAI as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in HTML, CSS, React. Knowledge of Flask, JavaScript, Django is a plus.","join innovateai as a web developer. we are looking for talented individuals. requirements must have strong experience in html, css, react. knowledge of flask, javascript, django is a plus."
Web Developer,Microsoft,Hyderabad,Senior Level,2025-09-02,"Join InnovateAI as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in Django, CSS, JavaScript. Knowledge of Flask, HTML is a plus.","join innovateai as a web developer. we are looking for talented individuals. requirements must have strong experience in django, css, javascript. knowledge of flask, html is a plus."
Web Developer,StartupX,Mumbai,Mid Level,2026-03-01,"Join Google as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in HTML, JavaScript, Flask. Knowledge of CSS, Teamwork is a plus.","join google as a web developer. we are looking for talented individuals. requirements must have strong experience in html, javascript, flask. knowledge of css, teamwork is a plus."
Frontend Developer,Google,Delhi,Entry Level,2025-05-30,"Join TCS as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Redux, Sass, TypeScript. Knowledge of JavaScript, Vue, React is a plus.","join tcs as a frontend developer. we are looking for talented individuals. requirements must have strong experience in redux, sass, typescript. knowledge of javascript, vue, react is a plus."
Data Scientist,TechGiant,Bangalore,Entry Level,2025-10-23,"Join StartupX as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in SQL, Scikit-Learn, NLTK. Knowledge of Statistics, Python, Communication is a plus.","join startupx as a data scientist. we are looking for talented individuals. requirements must have strong experience in sql, scikitlearn, nltk. knowledge of statistics, python, communication is a plus."
Frontend Developer,Amazon,Mumbai,Mid Level,2025-07-05,"Join InnovateAI as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in React, Vue, Redux. Knowledge of TypeScript, JavaScript, Sass is a plus.","join innovateai as a frontend developer. we are looking for talented individuals. requirements must have strong experience in react, vue, redux. knowledge of typescript, javascript, sass is a plus."
Backend Developer,Infosys,Pune,Mid Level,2025-09-10,"Join Google as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Java, Go, API Design. Knowledge of SQL, Kubernetes, Teamwork is a plus.","join google as a backend developer. we are looking for talented individuals. requirements must have strong experience in java, go, api design. knowledge of sql, kubernetes, teamwork is a plus."
ML Engineer,Microsoft,Hyderabad,Entry Level,2025-12-30,"Join Amazon as a ML Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Python, AWS, Spark. Knowledge of TensorFlow, PyTorch, Machine Learning, Docker is a plus.","join amazon as a ml engineer. we are looking for talented individuals. requirements must have strong experience in python, aws, spark. knowledge of tensorflow, pytorch, machine learning, docker is a plus."
Frontend Developer,TechGiant,Bangalore,Entry Level,2025-10-20,"Join Google as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Redux, React, TypeScript. Knowledge of Vue, Communication is a plus.","join google as a frontend developer. we are looking for talented individuals. requirements must have strong experience in redux, react, typescript. knowledge of vue, communication is a plus."
Web Developer,Microsoft,Bangalore,Entry Level,2026-01-16,"Join StartupX as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in Flask, React, JavaScript. Knowledge of CSS, HTML, Django, Agile is a plus.","join startupx as a web developer. we are looking for talented individuals. requirements must have strong experience in flask, react, javascript. knowledge of css, html, django, agile is a plus."
Backend Developer,Google,Delhi,Senior Level,2026-03-22,"Join Google as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Go, Kubernetes, Java. Knowledge of SQL, Redis is a plus.","join google as a backend developer. we are looking for talented individuals. requirements must have strong experience in go, kubernetes, java. knowledge of sql, redis is a plus."
Backend Developer,TCS,Bangalore,Entry Level,2026-03-14,"Join TechGiant as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Go, SQL, Python. Knowledge of Redis, Kubernetes, API Design, Java is a plus.","join techgiant as a backend developer. we are looking for talented individuals. requirements must have strong experience in go, sql, python. knowledge of redis, kubernetes, api design, java is a plus."
ML Engineer,InnovateAI,Delhi,Senior Level,2025-04-06,"Join TCS as a ML Engineer. We are looking for talented individuals. Requirements: Must have strong experience in AWS, Spark, Machine Learning. Knowledge of PyTorch, TensorFlow, Python, Docker, Communication is a plus.","join tcs as a ml engineer. we are looking for talented individuals. requirements must have strong experience in aws, spark, machine learning. knowledge of pytorch, tensorflow, python, docker, communication is a plus."
Data Scientist,Infosys,Remote,Mid Level,2025-10-09,"Join TCS as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in SQL, Pandas, Machine Learning. Knowledge of Scikit-Learn, Python, NLTK, Statistics, Agile is a plus.","join tcs as a data scientist. we are looking for talented individuals. requirements must have strong experience in sql, pandas, machine learning. knowledge of scikitlearn, python, nltk, statistics, agile is a plus."
DevOps Engineer,Microsoft,Remote,Mid Level,2025-10-15,"Join Infosys as a DevOps Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Jenkins, AWS, Kubernetes. Knowledge of Docker is a plus.","join infosys as a devops engineer. we are looking for talented individuals. requirements must have strong experience in jenkins, aws, kubernetes. knowledge of docker is a plus."
Backend Developer,TechGiant,Delhi,Entry Level,2026-01-17,"Join StartupX as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Python, Redis, API Design. Knowledge of Java, Go, SQL, Kubernetes, Communication is a plus.","join startupx as a backend developer. we are looking for talented individuals. requirements must have strong experience in python, redis, api design. knowledge of java, go, sql, kubernetes, communication is a plus."
Backend Developer,TechGiant,Remote,Senior Level,2025-11-29,"Join InnovateAI as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in API Design, Kubernetes, Java. Knowledge of Python, SQL, Redis is a plus.","join innovateai as a backend developer. we are looking for talented individuals. requirements must have strong experience in api design, kubernetes, java. knowledge of python, sql, redis is a plus."
Data Scientist,InnovateAI,Pune,Senior Level,2025-04-22,"Join Amazon as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in SQL, NLTK, Machine Learning. Knowledge of Scikit-Learn, Pandas, Statistics, Teamwork is a plus.","join amazon as a data scientist. we are looking for talented individuals. requirements must have strong experience in sql, nltk, machine learning. knowledge of scikitlearn, pandas, statistics, teamwork is a plus."
ML Engineer,InnovateAI,Mumbai,Entry Level,2025-04-25,"Join Infosys as a ML Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Machine Learning, TensorFlow, AWS. Knowledge of Spark, Python, PyTorch, Docker is a plus.","join infosys as a ml engineer. we are looking for talented individuals. requirements must have strong experience in machine learning, tensorflow, aws. knowledge of spark, python, pytorch, docker is a plus."
Backend Developer,Google,Delhi,Mid Level,2025-04-10,"Join Amazon as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Java, Python, Kubernetes. Knowledge of SQL, API Design, Redis, Go, Communication is a plus.","join amazon as a backend developer. we are looking for talented individuals. requirements must have strong experience in java, python, kubernetes. knowledge of sql, api design, redis, go, communication is a plus."
Data Scientist,Infosys,Bangalore,Mid Level,2026-03-13,"Join Infosys as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in Statistics, NLTK, Pandas. Knowledge of Scikit-Learn is a plus.","join infosys as a data scientist. we are looking for talented individuals. requirements must have strong experience in statistics, nltk, pandas. knowledge of scikitlearn is a plus."
Web Developer,TCS,Bangalore,Entry Level,2025-07-17,"Join Infosys as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in JavaScript, HTML, Flask. Knowledge of Node.js, React, Django, CSS, Communication is a plus.","join infosys as a web developer. we are looking for talented individuals. requirements must have strong experience in javascript, html, flask. knowledge of node.js, react, django, css, communication is a plus."
DevOps Engineer,Google,Remote,Mid Level,2025-10-05,"Join Amazon as a DevOps Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Kubernetes, Jenkins, CI/CD. Knowledge of AWS, Linux, Docker, Terraform is a plus.","join amazon as a devops engineer. we are looking for talented individuals. requirements must have strong experience in kubernetes, jenkins, cicd. knowledge of aws, linux, docker, terraform is a plus."
Backend Developer,Amazon,Remote,Mid Level,2025-12-08,"Join StartupX as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Java, Redis, API Design. Knowledge of Go, Python, SQL, Teamwork is a plus.","join startupx as a backend developer. we are looking for talented individuals. requirements must have strong experience in java, redis, api design. knowledge of go, python, sql, teamwork is a plus."
DevOps Engineer,StartupX,Delhi,Senior Level,2026-03-11,"Join Amazon as a DevOps Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Docker, AWS, Linux. Knowledge of Jenkins, Terraform, CI/CD, Agile is a plus.","join amazon as a devops engineer. we are looking for talented individuals. requirements must have strong experience in docker, aws, linux. knowledge of jenkins, terraform, cicd, agile is a plus."
DevOps Engineer,Amazon,Bangalore,Mid Level,2025-10-04,"Join TCS as a DevOps Engineer. We are looking for talented individuals. Requirements: Must have strong experience in AWS, Linux, Terraform. Knowledge of Kubernetes, CI/CD, Docker, Jenkins, Agile is a plus.","join tcs as a devops engineer. we are looking for talented individuals. requirements must have strong experience in aws, linux, terraform. knowledge of kubernetes, cicd, docker, jenkins, agile is a plus."
ML Engineer,InnovateAI,Remote,Entry Level,2025-07-21,"Join StartupX as a ML Engineer. We are looking for talented individuals. Requirements: Must have strong experience in PyTorch, Python, AWS. Knowledge of TensorFlow, Docker, Agile is a plus.","join startupx as a ml engineer. we are looking for talented individuals. requirements must have strong experience in pytorch, python, aws. knowledge of tensorflow, docker, agile is a plus."
DevOps Engineer,Amazon,Hyderabad,Entry Level,2025-11-07,"Join TechGiant as a DevOps Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Linux, CI/CD, AWS. Knowledge of Docker, Terraform, Agile is a plus.","join techgiant as a devops engineer. we are looking for talented individuals. requirements must have strong experience in linux, cicd, aws. knowledge of docker, terraform, agile is a plus."
ML Engineer,TechGiant,Mumbai,Entry Level,2025-10-06,"Join TechGiant as a ML Engineer. We are looking for talented individuals. Requirements: Must have strong experience in AWS, Python, Docker. Knowledge of Spark, Machine Learning is a plus.","join techgiant as a ml engineer. we are looking for talented individuals. requirements must have strong experience in aws, python, docker. knowledge of spark, machine learning is a plus."
Frontend Developer,Google,Delhi,Senior Level,2026-03-11,"Join Microsoft as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Vue, JavaScript, Redux. Knowledge of TypeScript, React is a plus.","join microsoft as a frontend developer. we are looking for talented individuals. requirements must have strong experience in vue, javascript, redux. knowledge of typescript, react is a plus."
ML Engineer,Amazon,Remote,Entry Level,2025-11-11,"Join Google as a ML Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Python, TensorFlow, Spark. Knowledge of Docker, Agile is a plus.","join google as a ml engineer. we are looking for talented individuals. requirements must have strong experience in python, tensorflow, spark. knowledge of docker, agile is a plus."
DevOps Engineer,TechGiant,Bangalore,Entry Level,2025-05-17,"Join TCS as a DevOps Engineer. We are looking for talented individuals. Requirements: Must have strong experience in AWS, CI/CD, Jenkins. Knowledge of Kubernetes, Terraform, Linux, Teamwork is a plus.","join tcs as a devops engineer. we are looking for talented individuals. requirements must have strong experience in aws, cicd, jenkins. knowledge of kubernetes, terraform, linux, teamwork is a plus."
Frontend Developer,TCS,Pune,Entry Level,2025-04-30,"Join Microsoft as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in React, Redux, TypeScript. Knowledge of Vue, JavaScript, Sass, Agile is a plus.","join microsoft as a frontend developer. we are looking for talented individuals. requirements must have strong experience in react, redux, typescript. knowledge of vue, javascript, sass, agile is a plus."
Data Scientist,Amazon,Hyderabad,Entry Level,2026-01-14,"Join Amazon as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in Pandas, Statistics, NLTK. Knowledge of Machine Learning, Python, Scikit-Learn, SQL is a plus.","join amazon as a data scientist. we are looking for talented individuals. requirements must have strong experience in pandas, statistics, nltk. knowledge of machine learning, python, scikitlearn, sql is a plus."
DevOps Engineer,Microsoft,Mumbai,Entry Level,2025-04-07,"Join Infosys as a DevOps Engineer. We are looking for talented individuals. Requirements: Must have strong experience in AWS, Docker, Terraform. Knowledge of Kubernetes, CI/CD, Jenkins, Linux, Teamwork is a plus.","join infosys as a devops engineer. we are looking for talented individuals. requirements must have strong experience in aws, docker, terraform. knowledge of kubernetes, cicd, jenkins, linux, teamwork is a plus."
Web Developer,TCS,Pune,Entry Level,2026-03-26,"Join TCS as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in Flask, Node.js, CSS. Knowledge of HTML, Django, JavaScript, Agile is a plus.","join tcs as a web developer. we are looking for talented individuals. requirements must have strong experience in flask, node.js, css. knowledge of html, django, javascript, agile is a plus."
Web Developer,TechGiant,Pune,Mid Level,2025-12-07,"Join Infosys as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in Flask, CSS, Django. Knowledge of Node.js, React, HTML, Communication is a plus.","join infosys as a web developer. we are looking for talented individuals. requirements must have strong experience in flask, css, django. knowledge of node.js, react, html, communication is a plus."
Web Developer,Microsoft,Mumbai,Entry Level,2025-10-28,"Join InnovateAI as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in Node.js, Flask, React. Knowledge of CSS, HTML, Django, JavaScript, Teamwork is a plus.","join innovateai as a web developer. we are looking for talented individuals. requirements must have strong experience in node.js, flask, react. knowledge of css, html, django, javascript, teamwork is a plus."
Backend Developer,Infosys,Bangalore,Senior Level,2025-12-29,"Join StartupX as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Kubernetes, SQL, Go. Knowledge of Redis, Java, API Design is a plus.","join startupx as a backend developer. we are looking for talented individuals. requirements must have strong experience in kubernetes, sql, go. knowledge of redis, java, api design is a plus."
Data Scientist,InnovateAI,Hyderabad,Senior Level,2025-11-28,"Join Infosys as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in Statistics, Scikit-Learn, NLTK. Knowledge of Python, SQL, Pandas is a plus.","join infosys as a data scientist. we are looking for talented individuals. requirements must have strong experience in statistics, scikitlearn, nltk. knowledge of python, sql, pandas is a plus."
Data Scientist,TechGiant,Hyderabad,Senior Level,2026-01-03,"Join Google as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in SQL, Statistics, NLTK. Knowledge of Pandas, Scikit-Learn is a plus.","join google as a data scientist. we are looking for talented individuals. requirements must have strong experience in sql, statistics, nltk. knowledge of pandas, scikitlearn is a plus."
Web Developer,TCS,Bangalore,Entry Level,2025-10-12,"Join TCS as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in JavaScript, React, Django. Knowledge of HTML, CSS, Flask, Node.js is a plus.","join tcs as a web developer. we are looking for talented individuals. requirements must have strong experience in javascript, react, django. knowledge of html, css, flask, node.js is a plus."
Web Developer,Amazon,Hyderabad,Mid Level,2025-11-01,"Join Google as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in JavaScript, Node.js, Django. Knowledge of Flask, CSS, React, HTML, Agile is a plus.","join google as a web developer. we are looking for talented individuals. requirements must have strong experience in javascript, node.js, django. knowledge of flask, css, react, html, agile is a plus."
Web Developer,Google,Pune,Senior Level,2025-06-18,"Join TechGiant as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in HTML, CSS, JavaScript. Knowledge of Django, Node.js is a plus.","join techgiant as a web developer. we are looking for talented individuals. requirements must have strong experience in html, css, javascript. knowledge of django, node.js is a plus."
Backend Developer,InnovateAI,Hyderabad,Senior Level,2025-12-07,"Join InnovateAI as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Go, Python, Kubernetes. Knowledge of SQL, Java, API Design is a plus.","join innovateai as a backend developer. we are looking for talented individuals. requirements must have strong experience in go, python, kubernetes. knowledge of sql, java, api design is a plus."
Data Scientist,InnovateAI,Hyderabad,Mid Level,2025-05-22,"Join Amazon as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in Statistics, Scikit-Learn, SQL. Knowledge of Pandas, NLTK, Teamwork is a plus.","join amazon as a data scientist. we are looking for talented individuals. requirements must have strong experience in statistics, scikitlearn, sql. knowledge of pandas, nltk, teamwork is a plus."
Backend Developer,TechGiant,Remote,Entry Level,2025-07-26,"Join Infosys as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Python, SQL, Kubernetes. Knowledge of Go, Java, Redis is a plus.","join infosys as a backend developer. we are looking for talented individuals. requirements must have strong experience in python, sql, kubernetes. knowledge of go, java, redis is a plus."
Data Scientist,Infosys,Delhi,Senior Level,2025-06-24,"Join Microsoft as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in Pandas, Machine Learning, Statistics. Knowledge of SQL, Teamwork is a plus.","join microsoft as a data scientist. we are looking for talented individuals. requirements must have strong experience in pandas, machine learning, statistics. knowledge of sql, teamwork is a plus."
Backend Developer,Microsoft,Remote,Mid Level,2025-09-30,"Join Infosys as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Go, API Design, Python. Knowledge of SQL, Java, Kubernetes, Communication is a plus.","join infosys as a backend developer. we are looking for talented individuals. requirements must have strong experience in go, api design, python. knowledge of sql, java, kubernetes, communication is a plus."
DevOps Engineer,Google,Mumbai,Entry Level,2026-03-02,"Join TechGiant as a DevOps Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Kubernetes, Jenkins, Docker. Knowledge of AWS is a plus.","join techgiant as a devops engineer. we are looking for talented individuals. requirements must have strong experience in kubernetes, jenkins, docker. knowledge of aws is a plus."
Frontend Developer,TechGiant,Delhi,Mid Level,2025-04-03,"Join TechGiant as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in TypeScript, JavaScript, React. Knowledge of Redux, Teamwork is a plus.","join techgiant as a frontend developer. we are looking for talented individuals. requirements must have strong experience in typescript, javascript, react. knowledge of redux, teamwork is a plus."
DevOps Engineer,Microsoft,Bangalore,Senior Level,2026-01-13,"Join TCS as a DevOps Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Terraform, Docker, Linux. Knowledge of Kubernetes, Jenkins, CI/CD, Agile is a plus.","join tcs as a devops engineer. we are looking for talented individuals. requirements must have strong experience in terraform, docker, linux. knowledge of kubernetes, jenkins, cicd, agile is a plus."
DevOps Engineer,Microsoft,Pune,Mid Level,2025-12-25,"Join TechGiant as a DevOps Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Terraform, Jenkins, Linux. Knowledge of Docker, CI/CD, Kubernetes, Agile is a plus.","join techgiant as a devops engineer. we are looking for talented individuals. requirements must have strong experience in terraform, jenkins, linux. knowledge of docker, cicd, kubernetes, agile is a plus."
Data Scientist,Google,Mumbai,Entry Level,2025-08-17,"Join StartupX as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in Scikit-Learn, Statistics, Pandas. Knowledge of NLTK is a plus.","join startupx as a data scientist. we are looking for talented individuals. requirements must have strong experience in scikitlearn, statistics, pandas. knowledge of nltk is a plus."
ML Engineer,TCS,Delhi,Mid Level,2025-06-27,"Join Microsoft as a ML Engineer. We are looking for talented individuals. Requirements: Must have strong experience in AWS, Python, PyTorch. Knowledge of Machine Learning, TensorFlow, Communication is a plus.","join microsoft as a ml engineer. we are looking for talented individuals. requirements must have strong experience in aws, python, pytorch. knowledge of machine learning, tensorflow, communication is a plus."
ML Engineer,Amazon,Bangalore,Senior Level,2025-12-02,"Join TCS as a ML Engineer. We are looking for talented individuals. Requirements: Must have strong experience in PyTorch, Docker, AWS. Knowledge of TensorFlow, Python, Spark, Machine Learning is a plus.","join tcs as a ml engineer. we are looking for talented individuals. requirements must have strong experience in pytorch, docker, aws. knowledge of tensorflow, python, spark, machine learning is a plus."
Data Scientist,TCS,Hyderabad,Entry Level,2025-08-29,"Join Google as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in Statistics, Machine Learning, Pandas. Knowledge of NLTK, SQL is a plus.","join google as a data scientist. we are looking for talented individuals. requirements must have strong experience in statistics, machine learning, pandas. knowledge of nltk, sql is a plus."
Frontend Developer,StartupX,Delhi,Senior Level,2025-11-01,"Join Google as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in TypeScript, Vue, JavaScript. Knowledge of React, Sass, Redux, Communication is a plus.","join google as a frontend developer. we are looking for talented individuals. requirements must have strong experience in typescript, vue, javascript. knowledge of react, sass, redux, communication is a plus."
ML Engineer,TCS,Remote,Entry Level,2025-12-28,"Join TCS as a ML Engineer. We are looking for talented individuals. Requirements: Must have strong experience in TensorFlow, Python, Spark. Knowledge of AWS, Docker, Machine Learning, PyTorch, Agile is a plus.","join tcs as a ml engineer. we are looking for talented individuals. requirements must have strong experience in tensorflow, python, spark. knowledge of aws, docker, machine learning, pytorch, agile is a plus."
Frontend Developer,InnovateAI,Remote,Mid Level,2025-05-19,"Join InnovateAI as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in JavaScript, Sass, React. Knowledge of Vue, TypeScript, Redux, Agile is a plus.","join innovateai as a frontend developer. we are looking for talented individuals. requirements must have strong experience in javascript, sass, react. knowledge of vue, typescript, redux, agile is a plus."
Backend Developer,StartupX,Pune,Entry Level,2026-01-31,"Join InnovateAI as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Python, API Design, SQL. Knowledge of Kubernetes, Redis, Go, Java, Teamwork is a plus.","join innovateai as a backend developer. we are looking for talented individuals. requirements must have strong experience in python, api design, sql. knowledge of kubernetes, redis, go, java, teamwork is a plus."
ML Engineer,Amazon,Pune,Entry Level,2026-03-19,"Join Google as a ML Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Spark, Docker, PyTorch. Knowledge of Machine Learning, TensorFlow, Python, AWS is a plus.","join google as a ml engineer. we are looking for talented individuals. requirements must have strong experience in spark, docker, pytorch. knowledge of machine learning, tensorflow, python, aws is a plus."
DevOps Engineer,Infosys,Bangalore,Mid Level,2026-03-08,"Join Amazon as a DevOps Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Terraform, Kubernetes, Linux. Knowledge of Jenkins, Communication is a plus.","join amazon as a devops engineer. we are looking for talented individuals. requirements must have strong experience in terraform, kubernetes, linux. knowledge of jenkins, communication is a plus."
Frontend Developer,TCS,Pune,Mid Level,2025-07-24,"Join Amazon as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in JavaScript, Redux, Sass. Knowledge of React, TypeScript is a plus.","join amazon as a frontend developer. we are looking for talented individuals. requirements must have strong experience in javascript, redux, sass. knowledge of react, typescript is a plus."
Web Developer,Google,Delhi,Entry Level,2025-09-10,"Join TCS as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in Flask, Node.js, CSS. Knowledge of React, JavaScript, HTML, Django, Teamwork is a plus.","join tcs as a web developer. we are looking for talented individuals. requirements must have strong experience in flask, node.js, css. knowledge of react, javascript, html, django, teamwork is a plus."
Data Scientist,Google,Pune,Mid Level,2026-01-14,"Join Google as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in Scikit-Learn, Pandas, SQL. Knowledge of Python, Communication is a plus.","join google as a data scientist. we are looking for talented individuals. requirements must have strong experience in scikitlearn, pandas, sql. knowledge of python, communication is a plus."
DevOps Engineer,Google,Mumbai,Mid Level,2025-04-09,"Join Amazon as a DevOps Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Jenkins, Docker, Kubernetes. Knowledge of CI/CD, Linux, Agile is a plus.","join amazon as a devops engineer. we are looking for talented individuals. requirements must have strong experience in jenkins, docker, kubernetes. knowledge of cicd, linux, agile is a plus."
